"Author","Abbreviated","split1","split2","author_abbreviation"
"1000 Landscapes for 1 Billion People 2022a","ilm-practical",NA,"ilmp","1000 Landscapes for 1 Billion People 2022a_ilmp"
"1000 Landscapes for 1 Billion People 2022b","ilm_tool_guide",NA,"ilmt","1000 Landscapes for 1 Billion People 2022b_ilmt"
"AGRF 2020","si4af","si4af","si4af","AGRF 2020_si4af"
"Alcamo et al. 2003","wri-ehwb","wri","ehwb","Alcamo et al. 2003_ehwb"
"Andrews et al. 2004","andrews-smaf","andrews","smaf","Andrews et al. 2004_smaf"
"Apfelbaum et al. 2019","steve-aesshf","steve","aesshf","Apfelbaum et al. 2019_aesshf"
"Arshad and Martin 2002","arshad-sqi","arshad","sqi","Arshad and Martin 2002_sqi"
"Birner and Resnick 2010","birner-pepsa","birner","pepsa","Birner and Resnick 2010_pepsa"
"Commonland et al 2024","common-4returns",NA,"4returns","Commonland et al 2024_4returns"
"Cowie et al. 2018","ldn_cf_journal","ldn_cf_journal","ldn","Cowie et al. 2018_ldn"
"Orr et al. 2017","unccd-ldn","unccd","ldn","Orr et al. 2017_ldn"
"Deel et al. 2024","deel-semwise","deel","semwise","Deel et al. 2024_semwise"
"Devine et al. 2021","devine-rscfish","devine","rscfish","Devine et al. 2021_rscfish"
"EEA 2023","eea-smeitsha","eea","smeitsha","EEA 2023_smeitsha"
"European Commission 2021","eu-ss2030","eu","ss2030","European Commission 2021_ss2030"
"Faber et al. 2022","ejp-siren","ejp","siren","Faber et al. 2022_siren"
"FAO 2017a","fao-almsfa","fao","almsfa","FAO 2017a_almsfa"
"FAO 2018","fao-agroecology","fao","agroecology","FAO 2018_agroecology"
"FAO 2019","fao-tape","fao","tape","FAO 2019_tape"
"FAO and INRAE 2020","fao-esfsi","fao","esfsi","FAO and INRAE 2020_esfsi"
"FAO-ITPS 2017","fao-vgssm","fao","vgssm","FAO-ITPS 2017_vgssm"
"FAO-ITPS 2020","fao-passm","fao","passm","FAO-ITPS 2020_passm"
"FAO-OEWG 2022","fao-gspaf","fao","gspaf","FAO-OEWG 2022_gspaf"
"FS-TIP 2021","fsat","fsat","fsat","FS-TIP 2021_fsat"
"Ghimire et al. 2023","gwimire-sham4wle","gwimire","sham4wle","Ghimire et al. 2023_sham4wle"
"Govindakrishnan et al. 2021","govind-dus","govind","dus","Govindakrishnan et al. 2021_dus"
"Haines-Young and Potschin 2018","cices","cices","cices","Haines-Young and Potschin 2018_cices"
"Holmgren 2017","permaculture","permaculture","permaculture","Holmgren 2017_permaculture"
"IFA 2009","ifa-g4rnutstewf","ifa","g4rnutstewf","IFA 2009_g4rnutstewf"
"iPES 2015","ipes-food","ipes","food","iPES 2015_food"
"Jian et al. 2020","jian-dgsha","jian","dgsha","Jian et al. 2020_dgsha"
"Johnston and Bruulsema 2014","4rns-inue",NA,"4r","Johnston and Bruulsema 2014_4r"
"Lehmann et al. 2020","lehmann-fpsh","lehmann","fpsh","Lehmann et al. 2020_fpsh"
"López-Ridaura et al. 2002","mesmis","mesmis","mesmis","López-Ridaura et al. 2002_mesmis"
"Matson et al. 2024a","ejp-shttas","ejp","shttas","Matson et al. 2024a_shttas"
"Millennium Ecosystem Assessment 2005","mea","mea",NA,"Millennium Ecosystem Assessment 2005"
"Moebius-Clune et al. 2017","cornell-cash","cornell","cash","Moebius-Clune et al. 2017_cash"
"Montgomery et al. 2024","montg-shohph","montg","shohph","Montgomery et al. 2024_shohph"
"Musumba et al. 2017","ftf_gsiaf","ftf_gsiaf","gsiaf","Musumba et al. 2017_gsiaf"
"NEPAD 2003","caadp","caadp","caadp","NEPAD 2003_caadp"
"NEPAD 2015","caadpresult","caadpresult","caadpresult","NEPAD 2015_caadpresult"
"Neßhöver et al. 2012","teeb","teeb","teeb","Neßhöver et al. 2012_teeb"
"Nestle 2024","nestle-raf","nestle","raf","Nestle 2024_raf"
"Nunes et al. 2021","nunes-shape","nunes","shape","Nunes et al. 2021_shape"
"Pinstrup‐Andersen and Hazell 1985","ifpri-gr","ifpri","gr","Pinstrup‐Andersen and Hazell 1985_gr"
"Plieninger et al. 2020","la4aa","la4aa","la4aa","Plieninger et al. 2020_la4aa"
"Posthumus et al. 2021","posthumus-fsdst","posthumus","fsdst","Posthumus et al. 2021_fsdst"
"Rhees et al. 2024","mn-shaf",NA,"mshaf","Rhees et al. 2024_mshaf"
"Ros et al. 2022","ros-oshafssm","ros","oshafssm","Ros et al. 2022_oshafssm"
"SAI Platform 2023","sai-raag","sai","raag","SAI Platform 2023_raag"
"Sanginga and Woomer 2009","ciat-isfm","ciat","isfm","Sanginga and Woomer 2009_isfm"
"Sayer et al. 2013","sayer-la","sayer","la","Sayer et al. 2013_la"
"Scoones 1998","ids-srlf","ids","srlf","Scoones 1998_srlf"
"SKI 2021","ski-lstoolkit","ski","lstoolkit","SKI 2021_lstoolkit"
"Stockdale et al. 2019","stockdale-cfmsh","stockdale","cfmsh","Stockdale et al. 2019_cfmsh"
"Thaxton et al. 2017","unccd-ilm","unccd","ilm","Thaxton et al. 2017_ilm"
"Tittonell 2023","tittonel-sysageco","tittonel","sysageco","Tittonell 2023_sysageco"
"Triomphe et al. 2022","cgiar-ll","cgiar","ll","Triomphe et al. 2022_ll"
"UNEP 2011","cbd","cbd","cbd","UNEP 2011_cbd"
"UNEP-WCMC 2021","cbd-nea","cbd","nea","UNEP-WCMC 2021_nea"
"USDA-NRCS 2021","usda-cfshag","usda","cfshag","USDA-NRCS 2021_cfshag"
"van der Ploeg 2021","ploeg-peae","ploeg","peae","van der Ploeg 2021_peae"
"Vanlauwe et al. 2023","ifdc-fsha","ifdc","fsha","Vanlauwe et al. 2023_fsha"
"Wezel et al. 2020","wezel-tape",NA,"aepe","Wezel et al. 2020_aepe"
