pdf_name,animal health,biodiversity,co-creation of knowledge,connectivity,economic diversification,fairness,input reduction,land and natural resource governance,participation,recycling,social values and diets,soil health,synergy
4RNS-INUE.pdf,0.0,0.0,5.0,61.0,9.0,24.0,34.0,0.0,0.0,9.0,8.0,4.0,4.0
Andrews-SMAF.pdf,0.0,8.0,6.0,165.0,1.0,137.0,67.0,0.0,3.0,138.0,0.0,29.0,10.0
Arshad-SQI.pdf,7.0,4.0,3.0,161.0,0.0,151.0,32.0,0.0,0.0,57.0,0.0,38.0,5.0
Birner-PEPSA.pdf,0.0,0.0,17.0,55.0,21.0,29.0,2.0,0.0,20.0,1.0,5.0,0.0,2.0
CAADP.pdf,1.0,31.0,131.0,349.0,60.0,135.0,148.0,30.0,64.0,120.0,82.0,7.0,29.0
CAADPresult.pdf,0.0,0.0,13.0,19.0,6.0,12.0,8.0,0.0,10.0,0.0,12.0,0.0,0.0
CBD-NEA.pdf,0.0,261.0,488.0,625.0,14.0,27.0,79.0,4.0,44.0,6.0,42.0,0.0,226.0
CBD.pdf,0.0,240.0,97.0,218.0,13.0,69.0,507.0,0.0,22.0,4.0,74.0,0.0,0.0
CIAT-ISFM.pdf,3.0,110.0,364.0,1303.0,52.0,434.0,908.0,0.0,69.0,747.0,140.0,407.0,66.0
CICES.pdf,0.0,21.0,33.0,135.0,4.0,53.0,54.0,0.0,6.0,62.0,30.0,0.0,100.0
Common-4returns.pdf,0.0,153.0,265.0,791.0,81.0,253.0,412.0,57.0,248.0,127.0,222.0,40.0,650.0
Cornell-CASH.pdf,3.0,87.0,43.0,259.0,3.0,139.0,298.0,0.0,25.0,596.0,47.0,971.0,3.0
Deel-SEMWISE.pdf,0.0,23.0,6.0,78.0,3.0,20.0,72.0,0.0,14.0,39.0,5.0,95.0,13.0
Devine-RSCFISH.pdf,0.0,1.0,2.0,45.0,0.0,19.0,23.0,0.0,8.0,27.0,2.0,84.0,7.0
EEA-SMEITSHA.pdf,5.0,380.0,89.0,720.0,6.0,545.0,308.0,1.0,41.0,729.0,69.0,278.0,137.0
EJP-SHTTAS.pdf,0.0,0.0,3.0,9.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,7.0,2.0
EJP-SIREN.pdf,8.0,131.0,301.0,1053.0,34.0,657.0,302.0,1.0,69.0,306.0,45.0,127.0,306.0
EU-SS2030.pdf,0.0,56.0,40.0,145.0,5.0,52.0,119.0,2.0,10.0,75.0,21.0,32.0,11.0
FAO-ALMSFA.pdf,1.0,132.0,151.0,331.0,37.0,67.0,285.0,2.0,51.0,110.0,89.0,2.0,170.0
FAO-ESFSI.pdf,0.0,64.0,545.0,821.0,29.0,204.0,421.0,42.0,95.0,201.0,217.0,64.0,39.0
FAO-GSPAF.pdf,0.0,17.0,16.0,50.0,2.0,26.0,56.0,0.0,12.0,28.0,23.0,12.0,6.0
FAO-PASSM.pdf,0.0,11.0,8.0,43.0,0.0,13.0,51.0,0.0,3.0,28.0,2.0,4.0,7.0
FAO-TAPE.pdf,0.0,113.0,337.0,481.0,20.0,138.0,159.0,8.0,67.0,146.0,129.0,100.0,46.0
FAO-VGSSM.pdf,1.0,33.0,33.0,73.0,2.0,27.0,57.0,1.0,11.0,100.0,8.0,36.0,18.0
FAO-agroecology.pdf,0.0,141.0,501.0,283.0,16.0,9.0,151.0,0.0,60.0,88.0,86.0,6.0,35.0
FSAT.pdf,0.0,10.0,16.0,85.0,4.0,66.0,35.0,4.0,65.0,7.0,80.0,0.0,4.0
FtF_GSIAF.pdf,0.0,84.0,8.0,200.0,11.0,175.0,61.0,0.0,58.0,90.0,45.0,14.0,10.0
Gwimire-SHAM4WLE.pdf,3.0,44.0,20.0,132.0,0.0,27.0,191.0,0.0,10.0,345.0,12.0,322.0,18.0
IDS-SRLF.pdf,0.0,0.0,4.0,22.0,7.0,9.0,20.0,1.0,9.0,1.0,17.0,0.0,2.0
IFA-G4RNutStewF.pdf,0.0,5.0,26.0,93.0,34.0,41.0,54.0,0.0,5.0,33.0,39.0,15.0,11.0
IFDC-FSHA.pdf,7.0,31.0,102.0,324.0,44.0,80.0,287.0,0.0,9.0,257.0,40.0,213.0,22.0
IFPRI-GR.pdf,0.0,4.0,5.0,87.0,2.0,69.0,8.0,0.0,2.0,1.0,5.0,1.0,0.0
ILM-Practical.pdf,0.0,6.0,38.0,37.0,8.0,7.0,33.0,1.0,25.0,13.0,31.0,0.0,191.0
ILM_Tool_Guide.pdf,0.0,24.0,51.0,53.0,4.0,17.0,37.0,0.0,38.0,7.0,9.0,0.0,110.0
IPES-FOOD.pdf,0.0,14.0,104.0,137.0,14.0,13.0,47.0,9.0,18.0,4.0,61.0,0.0,3.0
Jian-DGSHA.pdf,0.0,7.0,20.0,38.0,0.0,14.0,19.0,0.0,0.0,29.0,9.0,62.0,6.0
LA4AA.pdf,0.0,33.0,68.0,81.0,5.0,14.0,100.0,0.0,23.0,2.0,52.0,0.0,170.0
LDN_CF_journal.pdf,0.0,6.0,16.0,32.0,10.0,7.0,33.0,0.0,12.0,5.0,9.0,1.0,17.0
Lehmann-FPSH.pdf,7.0,28.0,22.0,148.0,0.0,120.0,54.0,0.0,6.0,133.0,21.0,154.0,41.0
MEA.pdf,0.0,388.0,405.0,751.0,105.0,255.0,222.0,0.0,176.0,372.0,214.0,14.0,329.0
MESMIS.pdf,0.0,18.0,13.0,28.0,20.0,6.0,13.0,0.0,9.0,3.0,25.0,8.0,3.0
MN-SHAF.pdf,0.0,0.0,45.0,214.0,6.0,78.0,144.0,1.0,19.0,79.0,23.0,120.0,15.0
Montg-SHOHPH.pdf,0.0,18.0,0.0,22.0,0.0,6.0,19.0,0.0,3.0,26.0,8.0,46.0,8.0
Nunes-SHAPE.pdf,0.0,14.0,15.0,50.0,0.0,28.0,36.0,0.0,12.0,46.0,5.0,43.0,7.0
Permaculture.pdf,0.0,370.0,527.0,846.0,71.0,226.0,342.0,12.0,58.0,338.0,440.0,292.0,134.0
Ploeg-PEAE.pdf,0.0,5.0,21.0,103.0,1.0,34.0,46.0,4.0,1.0,9.0,8.0,14.0,6.0
Posthumus-FSDST.pdf,0.0,7.0,29.0,85.0,9.0,55.0,5.0,10.0,47.0,0.0,53.0,0.0,2.0
Ros-OSHAFSSM.pdf,0.0,13.0,33.0,93.0,2.0,27.0,58.0,0.0,0.0,30.0,7.0,48.0,7.0
SAI-RAAG.pdf,0.0,6.0,0.0,17.0,0.0,1.0,16.0,0.0,0.0,4.0,0.0,2.0,0.0
SI4AF.pdf,0.0,17.0,134.0,259.0,6.0,89.0,189.0,1.0,16.0,123.0,15.0,93.0,40.0
