Framework,Backend,UniqueTerms,Chars,Time_s
4RNS-INUE,PyMuPDF,18,27522,0.11
4RNS-INUE,pdfplumber,18,27172,0.74
4RNS-INUE,pypdf,17,27641,0.2
Andrews-SMAF,PyMuPDF,32,99961,0.06
Andrews-SMAF,pdfplumber,22,91687,1.67
Andrews-SMAF,pypdf,32,100973,0.25
Arshad-SQI,PyMuPDF,18,30056,0.03
Arshad-SQI,pdfplumber,11,28151,0.59
Arshad-SQI,pypdf,18,30067,0.08
Birner-PEPSA,PyMuPDF,29,74207,0.05
Birner-PEPSA,pdfplumber,25,70827,1.24
Birner-PEPSA,pypdf,29,74418,0.19
CAADP,PyMuPDF,67,445679,0.16
CAADP,pdfplumber,67,444699,8.47
CAADP,pypdf,67,445469,0.78
CAADPresult,PyMuPDF,19,31804,0.04
CAADPresult,pdfplumber,19,30191,1.59
CAADPresult,pypdf,19,32027,0.37
CBD-NEA,PyMuPDF,24,123714,0.12
CBD-NEA,pdfplumber,24,121406,3.31
CBD-NEA,pypdf,24,123223,0.9
CBD,PyMuPDF,21,67122,0.05
CBD,pdfplumber,21,66011,1.36
CBD,pypdf,21,67029,0.32
CIAT-ISFM,PyMuPDF,116,985523,0.66
CIAT-ISFM,pdfplumber,116,976413,50.16
CIAT-ISFM,pypdf,116,992624,10.5
CICES,PyMuPDF,23,146679,0.13
CICES,pdfplumber,23,142960,3.96
CICES,pypdf,23,147155,1.15
Common-4returns,PyMuPDF,62,504773,0.36
Common-4returns,pdfplumber,61,495427,19.47
Common-4returns,pypdf,62,506868,5.36
Cornell-CASH,PyMuPDF,49,323485,0.25
Cornell-CASH,pdfplumber,50,343079,9.36
Cornell-CASH,pypdf,50,350375,2.23
Deel-SEMWISE,PyMuPDF,26,74226,0.05
Deel-SEMWISE,pdfplumber,26,70963,2.23
Deel-SEMWISE,pypdf,26,74747,0.56
Devine-RSCFISH,PyMuPDF,22,85711,0.07
Devine-RSCFISH,pdfplumber,18,79673,1.76
Devine-RSCFISH,pypdf,22,85669,0.52
EEA-SMEITSHA,PyMuPDF,83,663093,0.6
EEA-SMEITSHA,pdfplumber,83,653887,21.03
EEA-SMEITSHA,pypdf,83,662634,4.76
EJP-SHTTAS,PyMuPDF,11,10985,0.02
EJP-SHTTAS,pdfplumber,11,10627,0.35
EJP-SHTTAS,pypdf,11,11014,0.1
EJP-SIREN,PyMuPDF,76,460773,0.28
EJP-SIREN,pdfplumber,76,449898,15.23
EJP-SIREN,pypdf,76,460016,4.37
EU-SS2030,PyMuPDF,45,78848,0.06
EU-SS2030,pdfplumber,45,76162,2.86
EU-SS2030,pypdf,43,79298,0.86
FAO-ALMSFA,PyMuPDF,60,105822,0.12
FAO-ALMSFA,pdfplumber,60,105186,3.16
FAO-ALMSFA,pypdf,59,107742,0.8
FAO-ESFSI,PyMuPDF,67,481683,0.33
FAO-ESFSI,pdfplumber,67,474872,12.36
FAO-ESFSI,pypdf,67,479983,3.11
FAO-GSPAF,PyMuPDF,37,54179,0.04
FAO-GSPAF,pdfplumber,37,52689,1.59
FAO-GSPAF,pypdf,37,54085,0.49
FAO-PASSM,PyMuPDF,28,32757,0.08
FAO-PASSM,pdfplumber,28,32364,3.84
FAO-PASSM,pypdf,28,32696,1.35
FAO-TAPE,PyMuPDF,75,209521,0.17
FAO-TAPE,pdfplumber,75,206589,6.88
FAO-TAPE,pypdf,75,209423,1.93
FAO-VGSSM,PyMuPDF,47,48365,0.05
FAO-VGSSM,pdfplumber,47,47768,2.2
FAO-VGSSM,pypdf,47,48269,0.79
FAO-agroecology,PyMuPDF,41,33839,0.07
FAO-agroecology,pdfplumber,41,34539,2.99
FAO-agroecology,pypdf,41,34965,1.0
FSAT,PyMuPDF,34,117237,0.2
FSAT,pdfplumber,34,113255,4.16
FSAT,pypdf,34,115471,1.31
FtF_GSIAF,PyMuPDF,24,117886,0.09
FtF_GSIAF,pdfplumber,47,115193,5.36
FtF_GSIAF,pypdf,24,117794,1.47
Gwimire-SHAM4WLE,PyMuPDF,40,70501,0.05
Gwimire-SHAM4WLE,pdfplumber,20,73504,1.53
Gwimire-SHAM4WLE,pypdf,40,81481,0.27
IDS-SRLF,PyMuPDF,23,52139,0.02
IDS-SRLF,pdfplumber,23,51984,1.1
