Framework,Backend,Chars,UniqueTerms,TotalMatches,PrinciplesCovered,Time_s,Error
4RNS-INUE,PyMuPDF,27578,143,636,13,0.1,
4RNS-INUE,pdfplumber,27172,143,636,13,0.59,
4RNS-INUE,pypdf,27642,141,624,13,0.17,
4RNS-INUE,Docling,26858,148,637,13,34.39,
Andrews-SMAF,PyMuPDF,99855,267,1790,13,0.04,
Andrews-SMAF,pdfplumber,99297,238,1373,13,1.92,
Andrews-SMAF,pypdf,100974,263,1746,13,0.26,
Andrews-SMAF,Docling,109465,265,1698,13,138.11,
Arshad-SQI,PyMuPDF,30172,164,802,13,0.01,
Arshad-SQI,pdfplumber,29914,165,766,13,0.48,
Arshad-SQI,pypdf,30068,162,796,13,0.09,
Arshad-SQI,Docling,31503,172,819,13,10.66,
Birner-PEPSA,PyMuPDF,74484,226,1203,14,0.04,
Birner-PEPSA,pdfplumber,74227,225,1190,14,1.62,
Birner-PEPSA,pypdf,74419,222,1195,14,0.19,
Birner-PEPSA,Docling,72695,235,1281,14,12.55,
CAADP,PyMuPDF,446913,685,9282,14,0.14,
CAADP,pdfplumber,444788,690,9168,14,8.84,
CAADP,pypdf,445470,687,9299,14,0.78,
CAADP,Docling,376257,552,6139,14,118.66,
CAADPresult,PyMuPDF,32429,166,565,13,0.04,
CAADPresult,pdfplumber,30191,168,569,13,1.14,
CAADPresult,pypdf,32028,166,558,13,0.32,
CAADPresult,Docling,42470,168,646,13,44.32,
CBD-NEA,PyMuPDF,124133,217,2271,14,0.15,
CBD-NEA,pdfplumber,121425,217,2272,14,3.63,
CBD-NEA,pypdf,123224,216,2269,14,1.16,
CBD-NEA,Docling,129975,209,2240,14,182.29,
CBD,PyMuPDF,67408,144,551,13,0.06,
CBD,pdfplumber,66009,144,551,13,1.3,
CBD,pypdf,67028,143,549,13,0.35,
CBD,Docling,65470,144,565,13,32.65,
CIAT-ISFM,PyMuPDF,987216,1240,23724,14,0.8,
