Framework,BestBackend,P_Synergy,P_Input Reduction,P_Soil Health,P_Animal Health,P_Fairness,P_Economic Diversification,P_Co-creation of Knowledge,P_Social Values and Diets,P_Recycling,P_Land Governance,P_Biodiversity,P_Participation,P_Connectivity
4RNS-INUE,PyMuPDF,1.0,19.0,19.0,4.0,3.0,1.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0
Andrews-SMAF,pypdf,3.0,6.0,81.0,9.0,8.0,0.0,11.0,0.0,96.0,49.0,6.0,0.0,0.0
Arshad-SQI,pypdf,3.0,0.0,13.0,14.0,1.0,0.0,8.0,0.0,21.0,23.0,0.0,0.0,0.0
Birner-PEPSA,pypdf,0.0,5.0,0.0,1.0,30.0,8.0,50.0,0.0,1.0,54.0,0.0,3.0,3.0
CAADP,PyMuPDF,2.0,116.0,36.0,19.0,121.0,66.0,532.0,12.0,181.0,245.0,20.0,15.0,162.0
CAADPresult,pypdf,0.0,1.0,0.0,2.0,9.0,3.0,13.0,5.0,0.0,5.0,2.0,1.0,7.0
CBD-NEA,PyMuPDF,0.0,0.0,1.0,3.0,6.0,0.0,191.0,0.0,5.0,16.0,267.0,4.0,0.0
CBD,PyMuPDF,8.0,0.0,0.0,2.0,8.0,0.0,24.0,0.0,0.0,8.0,54.0,6.0,0.0
CIAT-ISFM,pypdf,304.0,494.0,819.0,138.0,107.0,52.0,434.0,59.0,261.0,359.0,93.0,24.0,10.0
CICES,pypdf,3.0,0.0,4.0,10.0,9.0,0.0,16.0,44.0,126.0,21.0,26.0,0.0,6.0
Common-4returns,pypdf,24.0,3.0,26.0,34.0,31.0,36.0,196.0,1.0,102.0,483.0,131.0,19.0,8.0
Cornell-CASH,pypdf,2.0,33.0,389.0,1340.0,8.0,3.0,30.0,0.0,359.0,26.0,40.0,0.0,0.0
Deel-SEMWISE,pypdf,0.0,0.0,23.0,370.0,0.0,0.0,29.0,0.0,16.0,14.0,7.0,0.0,1.0
Devine-RSCFISH,PyMuPDF,0.0,3.0,79.0,271.0,0.0,0.0,42.0,1.0,11.0,21.0,1.0,0.0,1.0
EEA-SMEITSHA,PyMuPDF,9.0,13.0,876.0,602.0,85.0,1.0,141.0,15.0,511.0,793.0,284.0,0.0,5.0
EJP-SHTTAS,pypdf,0.0,0.0,13.0,51.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0
EJP-SIREN,PyMuPDF,14.0,10.0,262.0,169.0,37.0,2.0,312.0,2.0,128.0,431.0,150.0,13.0,18.0
EU-SS2030,PyMuPDF,4.0,3.0,127.0,91.0,16.0,1.0,41.0,0.0,62.0,129.0,62.0,0.0,1.0
