,AGROVOC,ENVO,FAOSTAT,OpenLCA,HASSET,TAPE,WOCAT,HLPE_ENRICHED,GEMET,AGROVOC_Narrower,AGROVOC_Broader,AGROVOC_EntryTerm,AGROVOC_IncludedIn,AGROVOC_AffectedBy,Biophysical_Expansion,UNBIS,WAHIS,AWIN,ECO,GBIF,Genesys,GENESYS,ILOSTAT,World Bank,World_Bank,FAO/WHO GIFT,Fair Trade Int.,OpenStreetMap,LANDVOC,Prindex,Land Matrix,Land_Matrix,SDG,Civicus,Total
Recycling,1987,62,1,18,2,4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162
Input Reduction,15,78,2,0,0,4,20,16,1,8,17,5,2,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
Soil Health,3764,73,0,0,0,4,250,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4226
Animal Health,5887,20,0,0,0,0,104,0,0,0,0,0,0,0,0,5,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6045
Biodiversity,3736,42,0,0,3,6,154,0,0,0,0,0,0,0,0,9,0,0,20,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,4000
Synergy,1396,41,0,0,6,4,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457
Economic Diversification,503,4,0,0,3,3,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,769
Co-creation of Knowledge,259,22,0,0,241,5,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680
Social Values and Diets,2983,25,0,0,5,7,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3159
Fairness,3160,16,0,0,13,0,78,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,3408
Connectivity,613,16,0,0,1,0,7,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,897
Land Governance,7600,30,0,0,10,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,16,0,0,0,2,16,1,24,23,0,7754
Participation,5367,12,0,0,14,0,90,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5487
Additional Consolidated Terms,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
