,AGROVOC,ENVO,OpenLCA,HASSET,TAPE,WOCAT,World_Bank,HLPE_ENRICHED,AGROVOC_Broader,Biophysical_Expansion,UNBIS,UNESCO,WAHIS,ECO,GENESYS,ILOSTAT,OpenStreetMap,Prindex,Land_Matrix,SDG,Other,Total
Additional Consolidated Terms,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
Animal Health,5887,20,0,0,0,104,261,0,0,0,5,0,28,0,0,0,0,0,0,0,1,6306
Biodiversity,3736,42,0,3,6,154,195,0,0,0,9,33,0,20,28,0,0,0,0,0,2,4228
Co-creation of Knowledge,259,22,0,241,5,0,6482,0,0,0,153,585,0,0,0,0,0,0,0,0,0,7747
Connectivity,613,16,0,1,0,7,1263,0,0,0,238,193,0,0,0,0,22,0,0,0,0,2353
Economic Diversification,503,4,0,3,3,0,3971,0,0,0,248,100,0,0,0,4,0,0,0,0,1,4837
Fairness,3160,16,0,13,0,78,4834,0,0,0,134,66,0,0,0,6,0,0,0,0,1,8308
Input Reduction,15,78,0,0,4,23,431,16,17,102,0,0,0,0,0,0,0,0,0,0,19,705
Land Governance,7600,30,0,10,4,0,1874,0,0,0,28,4,0,0,0,0,0,16,24,23,3,9616
Participation,5367,12,0,14,0,90,2597,0,0,0,3,0,0,0,0,0,0,0,0,0,1,8084
Recycling,1987,62,18,2,4,237,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2350
Social Values and Diets,2983,25,0,5,7,0,1453,0,0,0,134,199,0,0,0,4,0,0,0,0,1,4811
Soil Health,3764,73,0,0,4,250,33,0,0,0,135,111,0,0,0,0,0,0,0,0,0,4370
Synergy,1396,41,0,6,4,3,367,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1824
