,UNKNOWN,AGROVOC,ENVO,FAOSTAT,OpenLCA,HASSET,TAPE,WOCAT,HLPE_ENRICHED,GEMET,AGROVOC_Narrower,AGROVOC_Broader,AGROVOC_EntryTerm,AGROVOC_IncludedIn,AGROVOC_AffectedBy,Biophysical_Expansion,WAHIS,AWIN,ECO,GBIF,Genesys,GENESYS,ILOSTAT,World Bank,World_Bank,FAO/WHO GIFT,UNBIS,Fair Trade Int.,OpenStreetMap,LANDVOC,Prindex,Land Matrix,Land_Matrix,SDG,Civicus,Total
Land Governance,1,7600,30,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,23,0,0,2,16,1,24,23,0,7750
Animal Health,1,5887,20,0,0,0,0,51,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5988
Participation,1,5367,12,0,0,14,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5451
Soil Health,1,3764,73,0,0,0,4,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981
Biodiversity,5,3732,42,0,0,3,6,78,0,0,0,0,0,0,0,0,0,0,20,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3916
Fairness,1,3160,16,0,0,13,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,0,0,3246
Social Values and Diets,1,2983,25,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3026
Recycling,1,1987,62,1,18,2,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126
Synergy,1,1396,41,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451
Connectivity,1,613,16,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,658
Co-creation of Knowledge,1,259,22,0,0,241,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
Economic Diversification,1,503,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,522
Input Reduction,1,15,78,2,0,0,4,8,16,1,8,17,5,2,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
Additional Consolidated Terms,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
